Accession #	IMAGE ID	Stop codon	Gene ID	Symbol	Description
BC165999	100066299	with	12173	Bnc1	basonuclin 1
BC148494	100015455	without	382427	Best3	bestrophin 3
BC153087	100016367	with	382427	Best3	bestrophin 3
BC156372	100062652	without	330671	B4galnt4	"beta-1,4-N-acetyl-galactosaminyl transferase 4"
BC172670	100069478	with	330671	B4galnt4	"beta-1,4-N-acetyl-galactosaminyl transferase 4"
BC140208	100014208	without	17695	Msmb	beta-microseminoprotein
BC141601	100014604	with	17695	Msmb	beta-microseminoprotein
BC156219	100061578	without	140780	Bmp2k	BMP2 inducible kinase
BC152871	100016124	without	75388	Boll	"bol, boule-like (Drosophila)"
BC165978	100066278	with	12096	Bglap	bone gamma carboxyglutamate protein
BC160309	100064053	with	12097	Bglap2	bone gamma-carboxyglutamate protein 2
BC148547	100015463	without	12182	Bst1	bone marrow stromal cell antigen 1
BC148339	100015314	without	12168	Bmpr2	"bone morphogenic protein receptor, type II (serine/threonine kinase)"
BC156868	100062725	with	12168	Bmpr2	"bone morphogenic protein receptor, type II (serine/threonine kinase)"
BC166011	100066311	with	75770	Brsk2	BR serine/threonine kinase 2
BC160328	100064072	with	70350	Basp1	"brain abundant, membrane attached signal protein 1"
BC160250	100063898	with	118452	Baalc	"brain and acute leukemia, cytoplasmic"
BC172649	100069457	with	12190	Brca2	breast cancer 2
BC148495	100015492	without	116848	Baz2a	"bromodomain adjacent to zinc finger domain, 2A"
BC156872	100062726	with	116848	Baz2a	"bromodomain adjacent to zinc finger domain, 2A"
BC166008	100066308	with	26992	Brd7	bromodomain containing 7
BC160209	100063857	with	67445	C1qtnf4	C1q and tumor necrosis factor related protein 4
BC172618	100069426	without	320405	Cadps2	Ca2+-dependent activator protein for secretion 2
BC172728	100069536	with	320405	Cadps2	Ca2+-dependent activator protein for secretion 2
BC152813	100016093	without	12555	Cdh15	cadherin 15
BC156578	100062090	with	12555	Cdh15	cadherin 15
BC166028	100066328	with	12561	Cdh4	cadherin 4
BC160324	100064068	with	76815	Calcoco2	calcium binding and coiled-coil domain 2
BC160237	100063885	with	29867	Cabp1	calcium binding protein 1
BC146312	100015185	without	54652	Cacna1f	"calcium channel, voltage-dependent, alpha 1F subunit"
BC156573	100062089	with	54652	Cacna1f	"calcium channel, voltage-dependent, alpha 1F subunit"
BC156406	100061983	without	319734	Cacna2d4	"calcium channel, voltage-dependent, alpha 2/delta subunit 4"
BC140359	100014324	without	12294	Cacna2d3	"calcium channel, voltage-dependent, alpha2/delta subunit 3"
BC148700	100015726	with	12294	Cacna2d3	"calcium channel, voltage-dependent, alpha2/delta subunit 3"
BC160243	100063891	with	12297	Cacnb3	"calcium channel, voltage-dependent, beta 3 subunit"
BC172620	100069428	without	12289	Cacna1d	"calcium channel, voltage-dependent, L type, alpha 1D subunit"
BC172729	100069537	with	12289	Cacna1d	"calcium channel, voltage-dependent, L type, alpha 1D subunit"
BC172641	100069449	with	12292	Cacna1s	"calcium channel, voltage-dependent, L type, alpha 1S subunit"
BC148659	100015621	without	12361	Cask	calcium/calmodulin-dependent serine protein kinase (MAGUK family)
BC168383	100068352	with	12374	Casr	calcium-sensing receptor
BC148662	100015562	without	75568	Capsl	calcyphosine-like
BC156824	100062538	with	75568	Capsl	calcyphosine-like
BC148637	100015642	without	268958	Capn11	calpain 11
BC153195	100016544	with	268958	Capn11	calpain 11
BC156837	100062540	with	73316	Calr3	calreticulin 3
BC152880	100016054	without	246257	Ovca2	candidate tumor suppressor in ovarian cancer 2
BC152804	100016068	without	71722	Cic	capicua homolog (Drosophila)
BC141429	100014749	without	56773	Chst5	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 5
BC146577	100014872	with	56773	Chst5	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 5
BC156751	100062274	with	12873	Cpa3	"carboxypeptidase A3, mast cell"
BC168395	100068364	with	12874	Cpd	carboxypeptidase D
BC156067	100062391	without	242939	Cpz	carboxypeptidase Z
BC156883	100062705	with	242939	Cpz	carboxypeptidase Z
BC167228	100068128	with	73250	Ceacam5	carcinoembryonic antigen-related cell adhesion molecule 5
BC140237	100014271	without	26368	Ceacam9	carcinoembryonic antigen-related cell adhesion molecule 9
BC146520	100014917	with	26368	Ceacam9	carcinoembryonic antigen-related cell adhesion molecule 9
BC166001	100066301	with	332579	Card9	"caspase recruitment domain family, member 9"
BC146420	100015150	without	64139	Ctsm	cathepsin M
BC148857	100015851	with	64139	Ctsm	cathepsin M
BC156225	100061555	without	13041	Ctsw	cathepsin W
BC156998	100062838	with	13041	Ctsw	cathepsin W
BC140372	100014385	without	225865	Catsper1	"cation channel, sperm associated 1"
BC146511	100015059	with	225865	Catsper1	"cation channel, sperm associated 1"
BC160327	100064071	with	12608	Cebpb	"CCAAT/enhancer binding protein (C/EBP), beta"
BC160197	100063845	with	12607	Cebpz	CCAAT/enhancer binding protein zeta
BC152845	100016097	without	664799	Ctcfl	CCCTC-binding factor (zinc finger protein)-like
BC146550	100014949	with	17079	Cd180	CD180 antigen
BC140436	100014420	without	17079	Cd180	CD180 antigen
BC156767	100062217	with	12478	Cd19	CD19 antigen
BC152965	100016210	without	271375	Cd200r2	Cd200 receptor 2
BC156619	100062050	with	271375	Cd200r2	Cd200 receptor 2
BC146457	100015155	without	246278	Cd207	CD207 antigen
BC141546	100014572	without	69165	Cd209b	CD209b antigen
BC146574	100014800	with	69165	Cd209b	CD209b antigen
BC160257	100063905	with	170779	Cd209d	CD209d antigen
BC160247	100063895	with	18106	Cd244	CD244 natural killer cell receptor 2B4
BC160263	100063911	with	217304	Cd300lb	CD300 antigen like family member B
BC140254	100014297	without	387565	Cd300c	CD300C antigen
BC141629	100014658	with	387565	Cd300c	CD300C antigen
BC156050	100062377	without	17064	Cd93	CD93 antigen
BC156937	100063627	with	17064	Cd93	CD93 antigen
BC160357	100064101	with	12747	Clk1	CDC-like kinase 1
BC156234	100061604	without	252966	Cables2	CDK5 and Abl enzyme substrate 2
BC148341	100015338	without	70925	Cdkn2aip	CDKN2A interacting protein
BC152983	100016274	with	70925	Cdkn2aip	CDKN2A interacting protein
BC152822	100016106	without	231201	AF366264	cDNA sequence AF366264
BC160271	100063919	with	278676	AY358078	cDNA sequence AY358078
BC152827	100016071	without	382000	AY761184	cDNA sequence AY761184
BC160383	100064127	with	103220	BC030307	cDNA sequence BC030307
BC160351	100064095	with	271887	BC066135	cDNA sequence BC066135
BC172635	100069443	with	100038854	BC117090	cDNA sequence BC1179090
BC148452	100015402	without	260299	Cadm4	cell adhesion molecule 4
BC153044	100016407	with	260299	Cadm4	cell adhesion molecule 4
BC160241	100063889	with	217232	Cdc27	cell division cycle 27
BC140383	100014413	without	60411	Cenpk	centromere protein K
BC146467	100015025	with	60411	Cenpk	centromere protein K
BC156383	100062606	without	28135	Cep63	centrosomal protein 63
BC156349	100061910	without	211660	Cspp1	centrosome and spindle pole associated protein 1
BC146453	100015107	without	228094	Cerkl	ceramide kinase-like
BC153071	100016400	with	228094	Cerkl	ceramide kinase-like
BC141471	100014707	without	76524	Cln6	"ceroid-lipofuscinosis, neuronal 6"
BC148723	100015731	with	76524	Cln6	"ceroid-lipofuscinosis, neuronal 6"
BC148586	100015551	without	541307	Ccl26	chemokine (C-C motif) ligand 26
BC156679	100062179	with	541307	Ccl26	chemokine (C-C motif) ligand 26
BC148418	100015445	without	12775	Ccr7	chemokine (C-C motif) receptor 7
BC141556	100014502	without	227288	Cxcr1	chemokine (C-X-C motif) receptor 1
BC153097	100016441	with	227288	Cxcr1	chemokine (C-X-C motif) receptor 1
BC148372	100015283	without	26372	Clcn6	chloride channel 6
BC156642	100062126	with	229927	Clca4	chloride channel calcium activated 4
BC148747	100015796	with	99663	Clca6	chloride channel calcium activated 6
BC146304	100015184	without	99663	Clca6	chloride channel calcium activated 6
BC172636	100069444	with	11441	Chrna7	"cholinergic receptor, nicotinic, alpha polypeptide 7"
BC148446	100015425	without	231252	Chrna9	"cholinergic receptor, nicotinic, alpha polypeptide 9"
BC153038	100016406	with	231252	Chrna9	"cholinergic receptor, nicotinic, alpha polypeptide 9"
BC156231	100061568	without	108015	Chrnb4	"cholinergic receptor, nicotinic, beta polypeptide 4"
BC157005	100062851	with	108015	Chrnb4	"cholinergic receptor, nicotinic, beta polypeptide 4"
BC148476	100015429	without	11448	Chrne	"cholinergic receptor, nicotinic, epsilon polypeptide"
BC153108	100016491	with	11448	Chrne	"cholinergic receptor, nicotinic, epsilon polypeptide"
BC156729	100062259	with	11449	Chrng	"cholinergic receptor, nicotinic, gamma polypeptide"
BC148468	100015416	without	12753	Clock	circadian locomotor output cycles kaput
BC156741	100062237	with	12753	Clock	circadian locomotor output cycles kaput
BC140358	100014312	without	12265	Ciita	class II transactivator
BC148699	100015714	with	12265	Ciita	class II transactivator
BC167227	100068127	with	216705	Clint1	clathrin interactor 1
BC140209	100014220	without	56492	Cldn18	claudin 18
BC141602	100014616	with	56492	Cldn18	claudin 18
BC156360	100061852	without	17289	Mertk	c-mer proto-oncogene tyrosine kinase
BC165957	100066257	with	14064	F2rl2	coagulation factor II (thrombin) receptor-like 2
BC146406	100015077	without	14071	F9	coagulation factor IX
BC148848	100015885	with	14071	F9	coagulation factor IX
BC156130	100062460	without	14067	F5	coagulation factor V
BC172650	100069458	with	14067	F5	coagulation factor V
BC156119	100062315	without	71743	Coasy	Coenzyme A synthase
BC160348	100064092	with	211535	Ccdc114	coiled-coil domain containing 114
BC167207	100068107	with	330830	Ccdc135	coiled-coil domain containing 135
BC165949	100066249	with	545428	Ccdc141	coiled-coil domain containing 141
BC152928	100016205	without	51938	Ccdc39	coiled-coil domain containing 39
BC156763	100062264	with	51938	Ccdc39	coiled-coil domain containing 39
BC167202	100068102	with	67896	Ccdc80	coiled-coil domain containing 80
BC172708	100069516	with	12833	Col6a1	"collagen, type VI, alpha 1"
BC156192	100061538	without	12813	Col10a1	"collagen, type X, alpha 1"
BC156930	100063614	with	12813	Col10a1	"collagen, type X, alpha 1"
BC140439	100014456	without	12815	Col11a2	"collagen, type XI, alpha 2"
BC167245	100068145	with	213945	Col28a1	"collagen, type XXVIII, alpha 1"
BC156826	100062562	with	12984	Csf2rb2	"colony stimulating factor 2 receptor, beta 2, low-affinity (granulocyte-macrophage)"
BC172697	100069505	with	625018	C4a	complement component 4A (Rodgers blood group)
BC140337	100014333	without	545366	Cfhr2	complement factor H-related 2
BC141634	100014659	with	545366	Cfhr2	complement factor H-related 2
BC160304	100064048	with	12890	Cplx2	complexin 2
BC141426	100014713	without	18488	Cntn3	contactin 3
BC156099	100062336	without	53321	Cntnap1	contactin associated protein-like 1
BC156962	100063633	with	53321	Cntnap1	contactin associated protein-like 1
BC156221	100061602	without	636808	Cntnap5a	contactin associated protein-like 5A
BC156970	100063575	with	636808	Cntnap5a	contactin associated protein-like 5A
BC167183	100068083	with	241175	Cntnap5b	contactin associated protein-like 5B
BC156346	100061862	without	620292	Cntnap5c	contactin associated protein-like 5C
BC165955	100066255	with	381457	Crnn	cornulin
BC156237	100061545	without	12854	Cort	cortistatin
BC157009	100062828	with	12854	Cort	cortistatin
BC172737	100069545	with	12914	Crebbp	CREB binding protein
BC167170	100068070	with	170788	Crb1	crumbs homolog 1 (Drosophila)
BC148533	100015485	without	546024	Crxos1	Crx opposite strand transcript 1
BC153126	100016482	with	546024	Crxos1	Crx opposite strand transcript 1
BC141433	100014702	without	353287	Clec18a	"C-type lectin domain family 18, member A"
BC146578	100014801	with	353287	Clec18a	"C-type lectin domain family 18, member A"
BC140245	100014272	without	69810	Clec4b1	"C-type lectin domain family 4, member b1"
BC146521	100014929	with	69810	Clec4b1	"C-type lectin domain family 4, member b1"
BC148458	100015391	without	381809	Clec4b2	"C-type lectin domain family 4, member b2"
BC153053	100016373	with	381809	Clec4b2	"C-type lectin domain family 4, member b2"
BC146400	100015100	without	242603	Cdcp2	CUB domain containing protein 2
BC153165	100016586	with	242603	Cdcp2	CUB domain containing protein 2
BC156269	100061683	without	94218	Cnnm3	cyclin M3
BC156167	100062454	without	94220	Cnnm4	cyclin M4
BC172662	100069470	with	94220	Cnnm4	cyclin M4
BC156382	100062677	without	218630	Ccno	cyclin O
BC172677	100069485	with	218630	Ccno	cyclin O
BC148441	100015365	without	69681	Cdk3-ps	"cyclin-dependent kinase 3, pseudogene"
BC153031	100016369	with	69681	Cdk3-ps	"cyclin-dependent kinase 3, pseudogene"
BC156263	100061694	without	12570	Cdk5r2	"cyclin-dependent kinase 5, regulatory subunit 2 (p39)"
BC148539	100015462	without	264064	Cdk8	cyclin-dependent kinase 8
BC152933	100016182	without	382253	Cdkl5	cyclin-dependent kinase-like 5
BC140350	100014311	without	246277	Csad	cysteine sulfinic acid decarboxylase
BC156785	100062255	with	664726	Cypt10	cysteine-rich perinuclear theca 10
BC156708	100062171	with	664725	Cypt7	cysteine-rich perinuclear theca 7
BC152961	100016162	without	664723	Cypt8	cysteine-rich perinuclear theca 8
BC152963	100016186	without	664724	Cypt9	cysteine-rich perinuclear theca 9
BC156911	100062758	with	664724	Cypt9	cysteine-rich perinuclear theca 9
BC141508	100014783	without	78081	Crisp4	cysteine-rich secretory protein 4
BC148787	100015779	with	78081	Crisp4	cysteine-rich secretory protein 4
BC172633	100069441	without	12638	Cftr	cystic fibrosis transmembrane conductance regulator
BC160285	100063933	with	13097	Cyp2c38	"cytochrome P450, family 2, subfamily c, polypeptide 38"
BC165950	100066250	with	404195	Cyp2c54	"cytochrome P450, family 2, subfamily c, polypeptide 54"
BC148420	100015386	without	71519	Cyp2u1	"cytochrome P450, family 2, subfamily u, polypeptide 1"
BC152999	100016290	with	71519	Cyp2u1	"cytochrome P450, family 2, subfamily u, polypeptide 1"
BC152926	100016181	without	13119	Cyp4a14	"cytochrome P450, family 4, subfamily a, polypeptide 14"
BC165947	100066247	with	81906	Cyp4x1	"cytochrome P450, family 4, subfamily x, polypeptide 1"
BC160203	100063851	with	12931	Crlf1	cytokine receptor-like factor 1
BC156825	100062550	with	102323	Dcun1d2	"DCN1, defective in cullin neddylation 1, domain containing 2 (S. cerevisiae)"
BC146331	100015223	without	245403	Dcaf12l2	DDB1 and CUL4 associated factor 12-like 2
BC148815	100015880	with	245403	Dcaf12l2	DDB1 and CUL4 associated factor 12-like 2
BC167209	100068109	with	230073	Ddx58	DEAD (Asp-Glu-Ala-Asp) box polypeptide 58
BC152932	100016170	without	381375	Dfnb59	"deafness, autosomal recessive 59 (human)"
BC156228	100061603	without	83703	Dbr1	debranching enzyme homolog 1 (S. cerevisiae)
BC172611	100069419	without	75974	Dock11	dedicator of cytokinesis 11
BC167231	100068131	with	208869	Dock3	dedicator of cyto-kinesis 3
BC156169	100062478	without	238130	Dock4	dedicator of cytokinesis 4
BC172663	100069471	with	238130	Dock4	dedicator of cytokinesis 4
BC168404	100068373	with	105445	Dock9	dedicator of cytokinesis 9
BC141481	100014744	without	246085	Defb10	defensin beta 10
BC148765	100015835	with	246085	Defb10	defensin beta 10
BC140234	100014235	without	77674	Defb12	defensin beta 12
BC141616	100014667	with	77674	Defb12	defensin beta 12
BC148556	100015476	without	246083	Defb13	defensin beta 13
BC153142	100016425	with	246083	Defb13	defensin beta 13
BC140347	100014370	without	246082	Defb15	defensin beta 15
BC146534	100014932	with	246082	Defb15	defensin beta 15
BC141502	100014711	without	654460	Defb18	defensin beta 18
BC148782	100015790	with	654460	Defb18	defensin beta 18
BC141487	100014721	without	319579	Defb20	defensin beta 20
BC148461	100015427	without	403172	Defb21	defensin beta 21
BC153057	100016338	with	403172	Defb21	defensin beta 21
BC141496	100014734	without	545475	Defb28	defensin beta 28
BC148776	100015813	with	545475	Defb28	defensin beta 28
BC146441	100015153	without	360211	Defb34	defensin beta 34
BC140230	100014282	without	246084	Defb35	defensin beta 35
BC146519	100014893	with	246084	Defb35	defensin beta 35
BC160339	100064083	with	266620	Defb36	defensin beta 36
BC140239	100014295	without	353320	Defb37	defensin beta 37
BC141618	100014620	with	353320	Defb37	defensin beta 37
BC141528	100014546	without	360214	Defb39	defensin beta 39
BC146532	100014884	with	360214	Defb39	defensin beta 39
BC148392	100015274	without	360217	Defb40	defensin beta 40
BC153015	100016234	with	360217	Defb40	defensin beta 40
BC140329	100014320	without	77673	Defb41	defensin beta 41
BC148546	100015546	without	574081	Defb46	defensin beta 46
BC153135	100016424	with	574081	Defb46	defensin beta 46
BC140287	100014254	without	81007	Defb5	defensin beta 5
BC146498	100014997	with	81007	Defb5	defensin beta 5
BC140276	100014300	without	387334	Defb50	defensin beta 50
BC141646	100014662	with	387334	Defb50	defensin beta 50
BC141441	100014715	without	246080	Defb7	defensin beta 7
BC146585	100014791	with	246080	Defb7	defensin beta 7
BC160340	100064084	with	244334	Defb8	defensin beta 8
BC165979	100066279	with	68009	Defa20	"defensin, alpha, 20"
BC152863	100016123	without	66298	Defa21	"defensin, alpha, 21"
BC156613	100062025	with	66298	Defa21	"defensin, alpha, 21"
BC165980	100066280	with	382059	Defa22	"defensin, alpha, 22"
BC148566	100015501	without	497114	Defa23	"defensin, alpha, 23"
BC153145	100016438	with	497114	Defa23	"defensin, alpha, 23"
BC148617	100015556	without	503491	Defa24	"defensin, alpha, 24"
BC153183	100016530	with	503491	Defa24	"defensin, alpha, 24"
BC148677	100015647	without	626708	Defa26	"defensin, alpha, 26"
BC152855	100016122	without	13237	Defa3	"defensin, alpha, 3"
BC156829	100062515	with	13237	Defa3	"defensin, alpha, 3"
